url,address,neighborhood,rent,beds,baths,flexs
https://www.renthop.com/listings/west-45th-street/2913/15807034,West 45th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",5180,2,2.0,
https://www.renthop.com/listings/437-east-12th-st/8/15805228,"437 East 12th St, Apt 8","East Village, Downtown Manhattan, Manhattan",2850,1,1.0,
https://www.renthop.com/listings/clinton-st/4/14393444,Clinton St,"Lower East Side, Downtown Manhattan, Manhattan",7333,4,2.0,
https://www.renthop.com/listings/delancey/1109a/15408501,Delancey,"Lower East Side, Downtown Manhattan, Manhattan",7295,3,2.0,
https://www.renthop.com/listings/333-east-56/3e/14960556,333 East 56,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",5495,2,2.0,
https://www.renthop.com/listings/west-53rd-street/410/15806892,West 53rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",3450,1,1.0,
https://www.renthop.com/listings/west-31st-street/31f/15806475,West 31st Street,"Koreatown, Midtown Manhattan, Manhattan",4100,1,1.0,2.0
https://www.renthop.com/listings/437-east-12th-st/7/15805268,"437 East 12th St, Apt 7","East Village, Downtown Manhattan, Manhattan",2550,1,1.0,
https://www.renthop.com/listings/123-7th-ave/4b/15825214,"123 7th Ave, Apt 4B","North Slope, Park Slope, South Brooklyn, Brooklyn",5200,2,2.0,
https://www.renthop.com/listings/74-10-64th-place/3/15823393,"74-10 64th Place, Apt 3","Glendale, Northwestern Queens, Queens",2599,2,1.0,
https://www.renthop.com/listings/525-west-52nd-street/19d/15807014,"525 West 52nd Street, Apt 19D","Hell's Kitchen, Midtown Manhattan, Manhattan",5850,2,2.0,
https://www.renthop.com/listings/battery-place/319/15588154,Battery Place,"Battery Park City, Downtown Manhattan, Manhattan",3825,1,1.0,2.0
https://www.renthop.com/listings/11-jones-street/4/15825187,"11 Jones Street, Apt 4","West Village, Downtown Manhattan, Manhattan",3200,2,2.0,
https://www.renthop.com/listings/28-avenue-38-street/na/15822185,37-09 28 Avenue,"Astoria, Northwestern Queens, Queens",2400,2,1.0,
https://www.renthop.com/listings/550-west-45th-street/720/15775297,"550 West 45th Street, Apt 720","Hell's Kitchen, Midtown Manhattan, Manhattan",3190,0,1.0,1.0
https://www.renthop.com/listings/28-avenue-38-street/na/15822185,37-09 28 Avenue,"Astoria, Northwestern Queens, Queens",2400,2,1.0,
https://www.renthop.com/listings/550-west-45th-street/720/15775297,"550 West 45th Street, Apt 720","Hell's Kitchen, Midtown Manhattan, Manhattan",3190,0,1.0,1.0
https://www.renthop.com/listings/180-water-street/2613/15814872,"180 Water Street, Apt 2613","Financial District, Downtown Manhattan, Manhattan",6400,2,2.0,
https://www.renthop.com/listings/41-12-69th-street-woodside-ny-11377/2/15815960,"41-12 69th Street, Apt 2","Woodside, Northwestern Queens, Queens",3000,3,2.0,
https://www.renthop.com/listings/20-broad-street/1301/15817619,"20 Broad Street, Apt 1301","Financial District, Downtown Manhattan, Manhattan",5546,2,2.0,3.0
https://www.renthop.com/listings/305-east-86th-street/15lw/15390968,"305 East 86th Street, Apt 15LW...","Yorkville, Upper East Side, Upper Manhattan, Manhattan",3804,1,1.0,
https://www.renthop.com/listings/west-38th-street/17c/15768209,West 38th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",3100,0,1.0,
https://www.renthop.com/listings/west-42nd-street/23h/15804473,West 42nd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",3342,1,1.0,2.0
https://www.renthop.com/listings/norfolk-street/unit-2/13299909,Norfolk Street,"Lower East Side, Downtown Manhattan, Manhattan",4675,3,1.0,
https://www.renthop.com/listings/17-monitor-st/2/14086223,"17 Monitor St, Apt 2","Williamsburg, Northern Brooklyn, Brooklyn",2300,0,1.0,
https://www.renthop.com/listings/146-w-120th-st/2/15812732,"146 W 120th St., Apt 2","Central Harlem, Upper Manhattan, Manhattan",2250,1,1.0,
https://www.renthop.com/listings/370-west-30th-st/na/15772827,370 West 30th St,"Chelsea, Midtown Manhattan, Manhattan",3600,2,1.0,
https://www.renthop.com/listings/320-west-38th-street/1004/15392220,"320 West 38th Street, Apt 1004...","Garment District, Midtown Manhattan, Manhattan",4400,1,1.0,
https://www.renthop.com/listings/41-underhill-aveue/3b/15825236,"41 Underhill Avenue, Apt 3B","Prospect Heights, Northwestern Brooklyn, Brooklyn",3100,2,1.0,
https://www.renthop.com/listings/282-east-32nd-st/na/15809738,282 East 32nd St,"Flatbush, Central Brooklyn, Brooklyn",2166,2,1.0,
https://www.renthop.com/listings/allen-street/5-bi/13303831,Allen Street,"Bowery, Downtown Manhattan, Manhattan",3350,2,1.0,
https://www.renthop.com/listings/west-45th-street/2510/15806280,West 45th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",3695,1,1.0,
https://www.renthop.com/listings/first-avenue/23/14219567,First Avenue,"Alphabet City, East Village, Downtown Manhattan, Manhattan",3784,2,1.0,
https://www.renthop.com/listings/1129-lexington/2/15627487,"1129 Lexington, Apt 2","Upper East Side, Upper Manhattan, Manhattan",7188,2,1.0,4.0
https://www.renthop.com/listings/13-ave-70th-st/na/15825233,1375 70th St,"Dyker Heights, Southwestern Brooklyn, Brooklyn",1800,2,1.0,
https://www.renthop.com/listings/w-184/2j/15821421,W 184,"Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",2625,2,1.0,
https://www.renthop.com/listings/east-60s/na/15697608,East 60s,"Upper East Side, Upper Manhattan, Manhattan",3800,1,1.0,2.0
https://www.renthop.com/listings/90-washington-st/apt-17j/15812809,"90 Washington St, Apt APT 17J","Financial District, Downtown Manhattan, Manhattan",2743,0,1.0,1.0
https://www.renthop.com/listings/260-west-52nd-street/29c/15153552,"260 West 52nd Street, Apt 29C","Theater District, Midtown Manhattan, Manhattan",5510,2,2.0,
https://www.renthop.com/listings/thompson-street/26-bi/13322874,Thompson Street,"SoHo, Downtown Manhattan, Manhattan",4360,2,1.0,
https://www.renthop.com/listings/west-52nd-street/12gn/15806604,West 52nd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",3550,1,1.0,
https://www.renthop.com/listings/303-east-43rd-street/14b/15682218,"303 East 43rd Street, Apt 14B","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",7100,4,3.0,5.0
https://www.renthop.com/listings/572-11th-avenue/8e/15575199,"572 11th Avenue, Apt 8E","Hell's Kitchen, Midtown Manhattan, Manhattan",3415,0,1.0,
https://www.renthop.com/listings/thompson-street/34-bi/13317502,Thompson Street,"SoHo, Downtown Manhattan, Manhattan",4995,3,1.0,
https://www.renthop.com/listings/375-377-pleasant-ave/na/15575148,375-377 Pleasant Ave,"East Harlem, Upper Manhattan, Manhattan",1885,2,1.0,
https://www.renthop.com/listings/888-eighth-ave/15r/15805151,"888 Eighth Ave, Apt 15R","Theater District, Midtown Manhattan, Manhattan",2750,0,1.0,
https://www.renthop.com/listings/95-christopher-street/10j/15685347,"95 Christopher Street, Apt 10J...","West Village, Downtown Manhattan, Manhattan",5725,1,1.0,
https://www.renthop.com/listings/370-west-30th-street/10a/15803267,"370 West 30th Street, Apt 10A","Chelsea, Midtown Manhattan, Manhattan",3600,2,1.0,
https://www.renthop.com/listings/east-44th-street/36b/15811504,East 44th street,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",4200,1,1.0,
https://www.renthop.com/listings/944-marcy-avenue/5b/15825241,"944 Marcy Avenue, Apt 5B","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2550,2,1.0,
https://www.renthop.com/listings/west-13th-st/na/14871558,West 13th St,"West Village, Downtown Manhattan, Manhattan",2600,0,1.0,
https://www.renthop.com/listings/409-14th-street/3l/15825185,"409 14th Street, Apt #3L","South Slope, Park Slope, South Brooklyn, Brooklyn",3550,2,1.0,
https://www.renthop.com/listings/605-west-42nd-street/60a/15575422,"605 West 42nd Street, Apt 60A","Hell's Kitchen, Midtown Manhattan, Manhattan",6738,2,2.0,
https://www.renthop.com/listings/118-west-83rd-st/3a/15719642,"118 West 83rd St, Apt 3A","Upper West Side, Upper Manhattan, Manhattan",1850,0,1.0,
https://www.renthop.com/listings/333-east-49th-street/5h/15825189,"333 East 49th Street, Apt 5H","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3600,1,1.0,
https://www.renthop.com/listings/118-west-83rd-st/3a/15719642,"118 West 83rd St, Apt 3A","Upper West Side, Upper Manhattan, Manhattan",1850,0,1.0,
https://www.renthop.com/listings/east-18th-street/5a/13299912,East 18th Street,"Gramercy Park, Midtown Manhattan, Manhattan",5795,3,1.0,
https://www.renthop.com/listings/333-east-49th-street/5h/15825189,"333 East 49th Street, Apt 5H","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3600,1,1.0,
https://www.renthop.com/listings/exchange-place/1107/15803081,Exchange Place,"Financial District, Downtown Manhattan, Manhattan",4795,1,1.0,3.0
https://www.renthop.com/listings/first-avenue/33/15761757,First Avenue,"Alphabet City, East Village, Downtown Manhattan, Manhattan",4947,3,1.0,
https://www.renthop.com/listings/attorney-st/unit-6c/13265697,Attorney St,"Lower East Side, Downtown Manhattan, Manhattan",7144,4,2.0,
https://www.renthop.com/listings/200-water-street/1111/15795082,"200 Water Street, Apt 1111","Financial District, Downtown Manhattan, Manhattan",3299,1,1.0,
