url,address,neighborhood,rent,beds,baths,flexs
https://www.renthop.com/listings/greenwich-avenue/9/15715596,Greenwich Avenue,"West Village, Downtown Manhattan, Manhattan","$2,495",Studio,1_Bath,
https://www.renthop.com/listings/330-west-58th-street/31c/15841225,"330 West 58th Street, Apt 31C","Hell's Kitchen, Midtown Manhattan, Manhattan","$3,399",1_Bed,1_Bath,
https://www.renthop.com/listings/901-wyckoff-avenue/3l/15842889,"901 Wyckoff Avenue, Apt 3L","Ridgewood, Northwestern Queens, Queens","$1,800",1_Bed,1_Bath,
https://www.renthop.com/listings/534-east-85th-st/4b/15837065,"534 East 85th St, Apt 4B","Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,025",Studio,1_Bath,
https://www.renthop.com/listings/901-wyckoff-avenue/3l/15850171,"901 Wyckoff Avenue, Apt 3L","Ridgewood, Northwestern Queens, Queens","$1,800",1_Bed,1_Bath,
https://www.renthop.com/listings/314-east-106th-street/4/14273832,"314 East 106th Street, Apt 4","East Harlem, Upper Manhattan, Manhattan","$2,396",2_Bed,1_Bath,
https://www.renthop.com/listings/901-wyckoff-avenue/3l/15842889,"901 Wyckoff Avenue, Apt 3L","Ridgewood, Northwestern Queens, Queens","$1,800",1_Bed,_1_Bath,
https://www.renthop.com/listings/534-east-85th-st/4b/15837065,"534 East 85th St, Apt 4B","Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,025",Studio,1_Bath,
https://www.renthop.com/listings/901-wyckoff-avenue/3l/15850171,"901 Wyckoff Avenue, Apt 3L","Ridgewood, Northwestern Queens, Queens","$1,800",1_Bed,1_Bath,
https://www.renthop.com/listings/314-east-106th-street/4/14273832,"314 East 106th Street, Apt 4","East Harlem, Upper Manhattan, Manhattan","$2,396",2_Bed,1_Bath,
https://www.renthop.com/listings/first-ave/4a/5131377,First ave ,"East Village, Downtown Manhattan, Manhattan","$4,595",3_Bed,1_Bath,
https://www.renthop.com/listings/21-fifth-avenue/22/15691504,"21 Fifth Avenue, Apt 22","Pelham, Pelham, Town","$1,700",1_Bed,1_Bath,
https://www.renthop.com/listings/first-ave/1-b/11132859,First ave ,"East Village, Downtown Manhattan, Manhattan","$3,600",2_Bed,1_Bath,
https://www.renthop.com/listings/620-parkside-avenue/10/15645655,"620 Parkside Avenue, Apt 10","Prospect Lefferts Gardens, Flatbush, Central Brooklyn, Brooklyn","$2,725",2_Bed,1_Bath,
https://www.renthop.com/listings/19-eldridge-street/5/15864471,"19 Eldridge Street, Apt 5","Chinatown, Downtown Manhattan, Manhattan","$2,800",1_Bed,1_Bath,
https://www.renthop.com/listings/20-broad-st/1302/15864383,"20 Broad St, Apt 1302","Financial District, Downtown Manhattan, Manhattan","$3,845",1_Bed,1_Bath,
https://www.renthop.com/listings/60-riverside-boulevard/912/15613175,"60 Riverside Boulevard, Apt 91...","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$8,155",2_Bed,2_Bath,
https://www.renthop.com/listings/west-14th-street/8j/14460350,West 14th Street,"Flatiron District, Midtown Manhattan, Manhattan","$4,695",1_Bed,1_Bath,
