url,address,neighborhood,rent,beds,baths,flexs,zip
https://www.renthop.com/listings/116-mott-st/4/15848307,"116 Mott St, Apt 4","Chinatown, Downtown Manhattan, Manhattan","$2,750",2,1,0,
https://www.renthop.com/listings/132-nostrand-ave/1/15864430,"132 Nostrand Ave, Apt #1","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn","$2,275",2,1,0,
https://www.renthop.com/listings/1068-fulton-st/na/15853748,1068 Fulton St,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn","$2,650",1,1,0,
https://www.renthop.com/listings/wall-street/1418/15855950,Wall Street,"Financial District, Downtown Manhattan, Manhattan","$3,483",1,1,0,
https://www.renthop.com/listings/1215-nostrand/2f/15864445,"1215 Nostrand, Apt #2F","Prospect Lefferts Gardens, Flatbush, Central Brooklyn, Brooklyn","$1,975",2,1,0,
https://www.renthop.com/listings/e-58th-st/19/15864394,E 58th St.,"Midtown East, Midtown Manhattan, Manhattan","$3,200",2,1,0,
https://www.renthop.com/listings/320-w-22-st/2fl/15852132,"320 W 22 St, Apt 2FL","Chelsea, Midtown Manhattan, Manhattan","$3,000",1,1,0,
https://www.renthop.com/listings/264-brooklyn-avenue/2b/15852383,"264 Brooklyn Avenue, Apt 2B","Crown Heights, Central Brooklyn, Brooklyn","$2,600",2,1,0,
https://www.renthop.com/listings/10th-avenue/23h/15862391,10th Avenue,"Hell's Kitchen, Midtown Manhattan, Manhattan","$4,995",2,2,3,
https://www.renthop.com/listings/19-west-69th-street/1002/15847015,"19 West 69th Street, Apt 1002","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$2,400",0,1,0,
https://www.renthop.com/listings/west-37th-street/3008/15842587,West 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$2,890",0,1,0,
https://www.renthop.com/listings/west-55/na/15842056, West 55,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,500",2,1,0,
https://www.renthop.com/listings/west-37th-street/3008/15842587,West 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$2,890",0,1,0,
https://www.renthop.com/listings/west-55/na/15842056, West 55,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,500",2,1,0,
https://www.renthop.com/listings/81-underhill-ave/2r/15859734,"81 Underhill Ave, Apt 2R","Prospect Heights, Northwestern Brooklyn, Brooklyn","$2,930",2,1,0,
https://www.renthop.com/listings/rector-pl/17r/15783895,rector Pl,"Battery Park City, Downtown Manhattan, Manhattan","$3,526",1,1,0,
https://www.renthop.com/listings/financial-district-downtown-manhattan/709/15852178,"Financial District, Downtown M...","Financial District, Downtown Manhattan, Manhattan","$2,705",0,1,1,
https://www.renthop.com/listings/1054-bushwick-ave/na/15844682,1054 Bushwick Ave,"Bushwick, Northern Brooklyn, Brooklyn","$3,000",2,2,0,
https://www.renthop.com/listings/670-pacific-st/na/15857019,670 Pacific St,"Prospect Heights, Northwestern Brooklyn, Brooklyn","$4,583",2,2,0,
https://www.renthop.com/listings/45-west-34th-street/23b/15443291,"45 West 34th Street, Apt 23B","Koreatown, Midtown Manhattan, Manhattan","$4,350",2,1,3,
https://www.renthop.com/listings/financial-district-downtown-manhattan/2-i/15818767,"Financial District, Downtown M...","Financial District, Downtown Manhattan, Manhattan","$3,400",1,1,2,
https://www.renthop.com/listings/wall-street/1255/15841673,Wall Street,"Financial District, Downtown Manhattan, Manhattan","$5,435",2,2,0,
https://www.renthop.com/listings/e-20s/12d/6120887,E 20's,"Kips Bay, Midtown Manhattan, Manhattan","$3,995",2,1,3,
https://www.renthop.com/listings/e-72nd-st/30/15852679,E 72nd St.,"Upper East Side, Upper Manhattan, Manhattan","$20,000",5,4,0,
https://www.renthop.com/listings/395-smith-street/3c/15795013,"395 Smith Street, Apt 3C","Carroll Gardens, South Brooklyn, Brooklyn","$4,485",3,2,0,
https://www.renthop.com/listings/240-east-82nd-street/17b/15273076,"240 East 82nd Street, Apt 17B","Yorkville, Upper East Side, Upper Manhattan, Manhattan","$4,700",3,1,4,
https://www.renthop.com/listings/west-42nd-street/25a/15826824,West 42nd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,300",1,1,0,
https://www.renthop.com/listings/west-57th-street/32/15840970,West 57th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$5,130",2,2,3,
https://www.renthop.com/listings/christopher-st/8a/15864431,Christopher St,"West Village, Downtown Manhattan, Manhattan","$3,825",0,1,0,
https://www.renthop.com/listings/west-end-ave/na/15716532,West End Ave,"Upper West Side, Upper Manhattan, Manhattan","$3,995",1,1,0,
https://www.renthop.com/listings/west-48th-street/16e/15842761,West 48th Street,"Theater District, Midtown Manhattan, Manhattan","$3,595",1,1,0,
https://www.renthop.com/listings/pearl-street/4503/15714267,Pearl Street,"Financial District, Downtown Manhattan, Manhattan","$7,020",2,2,3,
https://www.renthop.com/listings/pearl-street/4503/15714267,Pearl Street,"Financial District, Downtown Manhattan, Manhattan","$7,020",2,2,3,
https://www.renthop.com/listings/financial-district-downtown-manhattan/303/15846204,"Financial District, Downtown M...","Financial District, Downtown Manhattan, Manhattan","$2,675",0,1,0,
https://www.renthop.com/listings/601-west-57th-street/32e/15810996,"601 West 57th Street, Apt 32E","Hell's Kitchen, Midtown Manhattan, Manhattan","$5,400",2,2,0,
https://www.renthop.com/listings/412-east-88th-street/2w/15298422,"412 East 88th Street, Apt 2W","Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,800",1,1,0,
https://www.renthop.com/listings/115-stanwix-st/na/15758577,115 Stanwix St,"Bushwick, Northern Brooklyn, Brooklyn","$2,683",1,1,0,
https://www.renthop.com/listings/financial-district-downtown-manhattan/1901/15852522," Financial District, Downtown ...","Financial District, Downtown Manhattan, Manhattan","$2,785",0,1,1,
https://www.renthop.com/listings/594-bergan-street/1/15805331,"594 Bergan Street, Apt 1","Prospect Heights, Northwestern Brooklyn, Brooklyn","$3,100",1,1,0,
https://www.renthop.com/listings/10th-avenue/18g/15841463,10th Avenue,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,200",1,1,0,
https://www.renthop.com/listings/1604-first-ave/4d/15864428,"1604 First Ave, Apt 4D","Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,170",1,1,2,
https://www.renthop.com/listings/east-78th-street/3d/15864423,East 78th Street,"Upper East Side, Upper Manhattan, Manhattan","$8,495",2,2,3,
https://www.renthop.com/listings/west-96th-street/208/15840437,West 96th Street,"Upper West Side, Upper Manhattan, Manhattan","$3,800",1,1,0,
https://www.renthop.com/listings/gold-street/bb54/15788445,Gold Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn","$4,750",2,2,0,
https://www.renthop.com/listings/428-park-place/1a/15775365,"428 Park Place, Apt 1A","Prospect Heights, Northwestern Brooklyn, Brooklyn","$4,125",2,2,0,
https://www.renthop.com/listings/columbus-avenue/8a/15835978,Columbus Avenue,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan","$4,130",2,1,0,
https://www.renthop.com/listings/jane-street/5-d/15825229,Jane street,"West Village, Downtown Manhattan, Manhattan","$3,475",0,1,0,
https://www.renthop.com/listings/west-60th-st/na/14859947,West 60th St,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$4,595",1,1,0,
https://www.renthop.com/listings/606-west-57th-st/1718/15848147,"606 West 57th St, Apt 1718","Hell's Kitchen, Midtown Manhattan, Manhattan","$4,107",1,1,0,
https://www.renthop.com/listings/e-14th-st/na/9555163, E 14TH ST,"East Village, Downtown Manhattan, Manhattan","$4,790",3,1,0,
https://www.renthop.com/listings/e-52nd/1c/15825379,E 52nd,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan","$3,700",2,1,0,
https://www.renthop.com/listings/west-43rd-street/21f/15842573,West 43rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,655",1,1,0,
https://www.renthop.com/listings/e-50s/2w/14978741,E 50's,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan","$4,495",2,2,3,
https://www.renthop.com/listings/1349-bergen-st/garden/15821786,"1349 Bergen St, Apt GARDEN","Crown Heights, Central Brooklyn, Brooklyn","$2,699",2,1,0,
https://www.renthop.com/listings/mulberry-street/9/15859692, Mulberry street,"Little Italy, Downtown Manhattan, Manhattan","$2,790",1,1,0,
https://www.renthop.com/listings/first-avenue-83rd/5/15019635,First Avenue 83rd,"Upper East Side, Upper Manhattan, Manhattan","$2,268",1,1,0,
